"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","San Jose Sharks","21","1025.1333","7","11","3","6","17","0.405","935","995","48.45","677","738","47.84","482","522","48.01","42","54","43.75","43.95","43.26","50.40","514","514","50.00","289","292","49.74","31","46","40.26","10.73","84.25","212","182","53.81","142","126","52.99","14","23","37.84","9.86","81.75","302","332","47.63","147","166","46.96","17","23","42.50","11.56","86.14","361","417","46.40","169","197","46.17","11","8","57.89","6.51","95.94","8.71","89.66","0.984"
"2","Nashville Predators","19","854.3","9","8","2","7","20","0.526","829","845","49.52","613","617","49.84","419","442","48.66","34","39","46.58","39.22","39.36","49.91","417","433","49.06","220","250","46.81","27","33","45.00","12.27","86.80","161","172","48.35","108","118","47.79","20","20","50.00","18.52","83.05","256","261","49.52","112","132","45.90","7","13","35.00","6.25","90.15","354","339","51.08","180","168","51.72","7","6","53.85","3.89","96.43","8.11","91.18","0.993"
"3","Tampa Bay Lightning","19","861.45","11","7","1","11","23","0.605","820","792","50.87","606","580","51.10","440","426","50.81","39","38","50.65","42.02","38.26","52.34","482","446","51.94","267","237","52.98","30","35","46.15","11.24","85.23","220","168","56.70","147","116","55.89","20","19","51.28","13.61","83.62","262","278","48.52","120","121","49.79","10","16","38.46","8.33","86.78","287","297","49.14","153","172","47.08","9","3","75.00","5.88","98.26","8.86","91.08","0.999"
"4","New York Rangers","19","898.4","9","6","4","9","22","0.579","885","767","53.57","666","554","54.59","477","403","54.20","34","35","49.28","42.48","35.46","54.50","473","405","53.87","258","219","54.09","29","30","49.15","11.24","86.30","192","167","53.48","127","117","52.05","19","18","51.35","14.96","84.62","281","238","54.14","131","102","56.22","10","12","45.45","7.63","88.24","352","308","53.33","203","167","54.86","5","5","50.00","2.46","97.01","7.13","91.32","0.984"
"5","Vegas Golden Knights","20","984.05","15","4","1","15","31","0.775","964","975","49.72","713","658","52.01","542","469","53.61","50","36","58.14","49.09","38.04","56.34","528","474","52.69","321","241","57.12","43","30","58.90","13.40","87.55","233","170","57.82","175","108","61.84","25","18","58.14","14.29","83.33","295","304","49.25","146","133","52.33","18","12","60.00","12.33","90.98","355","413","46.22","189","201","48.46","7","5","58.33","3.70","97.51","9.23","92.32","1.015"
"6","Los Angeles Kings","21","979.4833","11","8","2","10","24","0.571","980","882","52.63","722","621","53.76","518","450","53.51","43","43","50.00","44.05","36.64","54.59","500","433","53.59","290","251","53.60","39","38","50.65","13.45","84.86","206","178","53.65","143","125","53.36","24","23","51.06","16.78","81.60","294","255","53.55","147","126","53.85","15","15","50.00","10.20","88.10","408","353","53.61","207","166","55.50","4","5","44.44","1.93","96.99","8.30","90.44","0.987"
"7","Boston Bruins","19","877.1667","17","2","0","16","34","0.895","829","773","51.75","626","581","51.86","466","430","52.01","46","26","63.89","39.07","32.91","54.27","445","372","54.47","255","218","53.91","37","23","61.67","14.51","89.45","180","151","54.38","126","111","53.16","25","11","69.44","19.84","90.09","265","221","54.53","129","107","54.66","12","12","50.00","9.30","88.79","346","344","50.14","189","180","51.22","9","3","75.00","4.76","98.33","9.87","93.95","1.038"
"8","Washington Capitals","20","934.4167","7","10","3","7","17","0.425","928","888","51.10","666","660","50.23","455","475","48.92","36","40","47.37","38.41","41.79","47.90","446","447","49.94","236","250","48.56","35","36","49.30","14.83","85.60","175","186","48.48","110","127","46.41","17","27","38.64","15.45","78.74","271","261","50.94","126","123","50.60","18","9","66.67","14.29","92.68","393","374","51.24","176","200","46.81","1","4","20.00","0.57","98.00","7.91","91.58","0.995"
"9","Columbus Blue Jackets","18","895.5667","7","10","1","7","15","0.417","785","1004","43.88","581","737","44.08","432","541","44.40","40","60","40.00","34.04","43.34","43.99","363","475","43.32","226","272","45.38","31","51","37.80","13.72","81.25","129","178","42.02","96","131","42.29","19","31","38.00","19.79","76.34","234","297","44.07","130","141","47.97","12","20","37.50","9.23","85.82","344","455","43.05","183","245","42.76","9","9","50.00","4.92","96.33","9.26","88.91","0.982"
"10","Carolina Hurricanes","19","887.3167","10","5","4","8","24","0.632","1017","608","62.58","747","468","61.48","489","338","59.13","38","29","56.72","43.74","30.5","58.92","484","304","61.42","253","194","56.60","32","24","57.14","12.65","87.63","198","152","56.57","128","106","54.70","18","14","56.25","14.06","86.79","286","152","65.30","125","88","58.69","14","10","58.33","11.20","88.64","444","243","64.63","217","122","64.01","6","5","54.55","2.76","95.90","7.77","91.42","0.992"
